STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;INCOMING_MSG;OUTGOING_MSG;SIGNAL_RANGE
81;8.1s;car2;car1;26.296137402432574;21.32;[];[];48.61501904177178
82;8.2s;car1;car3;15.150351169032508;60.519444272554196;[];[];48.61501904177178
82;8.2s;car2;car1;26.533444272554203;22.385999999999996;[];[];48.61501904177178
83;8.3s;car1;car3;15.350869108976994;61.82275114267583;[];[];48.61501904177178
83;8.3s;car2;car1;26.74475114267583;23.477999999999994;[];[];48.61501904177178
84;8.4s;car1;car3;15.55138704892148;63.12605801279746;[];[];48.61501904177178
84;8.4s;car2;car1;26.93005801279746;24.595999999999997;[];[];48.61501904177178
85;8.5s;car1;car3;15.751904988865967;64.42936488291909;[];[];48.61501904177178
85;8.5s;car2;car1;27.08936488291909;25.739999999999995;[];[];48.61501904177178
86;8.6s;car1;car3;15.952422928810453;65.7326717530407;[];[];48.61501904177178
86;8.6s;car2;car1;27.222671753040718;26.90999999999999;[];[];48.61501904177178
87;8.7s;car1;car3;16.15294086875494;67.03597862316234;[];[];48.61501904177178
87;8.7s;car2;car1;27.329978623162347;28.105999999999987;[];[];48.61501904177178
88;8.8s;car1;car3;16.353458808699425;68.33928549328397;[];[];48.61501904177178
88;8.8s;car2;car1;27.41128549328397;29.32799999999999;[];[];48.61501904177178
89;8.9s;car1;car3;16.55397674864391;69.64259236340558;[];[];48.61501904177178
89;8.9s;car2;car1;27.466592363405603;30.575999999999986;[];[];48.61501904177178
90;9.0s;car1;car3;16.754494688588398;70.94589923352721;[];[];48.61501904177178
90;9.0s;car2;car1;27.495899233527226;31.849999999999987;[];[];48.61501904177178
91;9.1s;car1;car3;16.955012628532884;72.24920610364885;[];[];48.61501904177178
91;9.1s;car2;car1;27.49920610364886;33.149999999999984;[];[];48.61501904177178
92;9.2s;car1;car3;17.15553056847737;73.55251297377048;[];[];48.61501904177178
92;9.2s;car2;car1;27.476512973770483;34.475999999999985;[];[];48.61501904177178
93;9.3s;car1;car3;17.356048508421857;74.8558198438921;[];[];48.61501904177178
93;9.3s;car2;car1;27.427819843892117;35.82799999999998;[];[];48.61501904177178
94;9.4s;car1;car3;17.556566448366343;76.15912671401372;[];[];48.61501904177178
94;9.4s;car2;car1;27.35312671401374;37.20599999999998;[];[];48.61501904177178
95;9.5s;car1;car3;17.75708438831083;77.46243358413535;[];[];48.61501904177178
95;9.5s;car2;car1;27.252997885659596;38.60943569847576;[];[];48.61501904177178
96;9.6s;car1;car3;17.95760232825532;78.76574045425699;[];[];48.61501904177178
96;9.6s;car2;car1;27.152869057305445;40.01287139695153;[];[];48.61501904177178
97;9.7s;car1;car3;18.158120268199806;80.0690473243786;[];[];48.61501904177178
97;9.7s;car2;car1;27.0527402289513;41.41630709542731;[];[];48.61501904177178
98;9.8s;car1;car3;18.358638208144292;81.37235419450025;[];[];48.61501904177178
98;9.8s;car2;car1;26.952611400597156;42.81974279390308;[];[];48.61501904177178
99;9.9s;car1;car3;18.559156148088775;82.67566106462186;[];[];48.61501904177178
99;9.9s;car2;car1;26.852482572243012;44.22317849237886;[];[];48.61501904177178
100;10.0s;car1;car3;18.759674088033254;83.97896793474351;[];[];48.61501904177178
100;10.0s;car2;car1;26.752353743888868;45.62661419085463;[];[];48.61501904177178
101;10.1s;car1;car3;18.960192027977737;85.28227480486512;[];[];48.61501904177178
101;10.1s;car2;car1;26.652224915534724;47.03004988933041;[];[];48.61501904177178
102;10.2s;car1;car3;19.16070996792222;86.58558167498677;[];[];48.61501904177178
102;10.2s;car2;car1;26.552096087180583;48.43348558780618;[];[];48.61501904177178
103;10.3s;car1;car3;19.361227907866702;87.88888854510839;[];[];48.61501904177178
103;10.3s;car2;car1;26.451967258826443;49.83692128628195;[];[];48.61501904177178
104;10.4s;car1;car3;19.56174584781119;89.19219541523003;[];[];48.61501904177178
104;10.4s;car2;car1;26.3518384304723;51.240356984757724;[];[];48.61501904177178
105;10.5s;car1;car3;19.76226378775567;90.49550228535165;[];[];48.61501904177178
105;10.5s;car2;car1;26.251709602118154;52.6437926832335;[];[];48.61501904177178
106;10.6s;car1;car3;19.962781727700154;91.7988091554733;[];[];48.61501904177178
106;10.6s;car2;car1;26.151580773764014;54.047228381709274;[];[];48.61501904177178
107;10.7s;car1;car3;20.163299667644637;93.10211602559491;[];[];48.61501904177178
107;10.7s;car2;car1;26.051451945409873;55.45066408018504;[];[];48.61501904177178
108;10.8s;car1;car3;20.36381760758912;94.40542289571655;[];[];48.61501904177178
108;10.8s;car2;car1;25.95132311705573;56.85409977866082;[];[];48.61501904177178
109;10.9s;car1;car3;20.564335547533602;95.70872976583817;[];[];48.61501904177178
109;10.9s;car2;car1;25.851194288701585;58.25753547713659;[];[];48.61501904177178
110;11.0s;car1;car3;20.764853487478085;97.01203663595982;[];[];48.61501904177178
110;11.0s;car2;car1;25.751065460347444;59.66097117561236;[];[];48.61501904177178
111;11.1s;car1;car3;20.965371427422568;98.31534350608143;[];[];48.61501904177178
111;11.1s;car2;car1;25.650936631993304;61.064406874088135;[];[];48.61501904177178
112;11.2s;car1;car3;21.16588936736705;99.61865037620306;[];[];48.61501904177178
112;11.2s;car2;car1;25.55080780363916;62.46784257256391;[];[];48.61501904177178
113;11.3s;car1;car3;21.366407307311533;100.92195724632468;[];[];48.61501904177178
113;11.3s;car2;car1;25.450678975285022;63.87127827103968;[];[];48.61501904177178
114;11.4s;car1;car3;21.56692524725602;102.22526411644631;[];[];48.61501904177178
114;11.4s;car2;car1;25.350550146930875;65.27471396951545;[];[];48.61501904177178
115;11.5s;car1;car3;21.767443187200506;103.52857098656794;[];[];48.61501904177178
115;11.5s;car2;car1;25.250421318576734;66.67814966799122;[];[];48.61501904177178
116;11.6s;car1;car3;21.967961127144992;104.83187785668957;[];[];48.61501904177178
116;11.6s;car2;car1;25.15029249022259;68.081585366467;[];[];48.61501904177178
117;11.7s;car1;car3;22.16847906708948;106.13518472681119;[];[];48.61501904177178
117;11.7s;car2;car1;25.050163661868446;69.48502106494277;[];[];48.61501904177178
118;11.8s;car1;car3;22.368997007033965;107.43849159693282;[];[];48.61501904177178
118;11.8s;car2;car1;24.9500348335143;70.88845676341853;[];[];48.61501904177178
119;11.9s;car1;car3;22.56951494697845;108.74179846705445;[];[];48.61501904177178
119;11.9s;car2;car1;24.849906005160157;72.2918924618943;[];[];48.61501904177178
