STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
18;1.8s;car1;No leader;No leader;0.7280000000000002;[];-77.0@car1-wlan1
18;1.8s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
19;1.9s;car1;No leader;No leader;0.9360000000000002;[];-77.0@car1-wlan1
19;1.9s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
20;2.0s;car1;No leader;No leader;1.17;[];-77.0@car1-wlan1
20;2.0s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
21;2.1s;car1;No leader;No leader;1.4299999999999997;[];-77.0@car1-wlan1
21;2.1s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
22;2.2s;car1;No leader;No leader;1.7159999999999997;[];-77.0@car1-wlan1
22;2.2s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
