STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
57;5.7s;car1;obs;64.59400000000002;28.10599999999998;[];-60@car1-wlan1
57;5.7s;car2;car1;12.969999999999981;3.5359999999999996;[];-60@car2-wlan1
58;5.8s;car1;obs;63.37200000000003;29.327999999999978;[];-60@car1-wlan1
58;5.8s;car2;car1;13.749999999999979;3.9779999999999998;[];-60@car2-wlan1
59;5.9s;car1;obs;62.124000000000024;30.57599999999998;[];-60@car1-wlan1
59;5.9s;car2;car1;14.52999999999998;4.446;[];-60@car2-wlan1
60;6.0s;car1;obs;60.85000000000002;31.84999999999998;[];-60@car1-wlan1
60;6.0s;car2;car1;15.309999999999981;4.9399999999999995;[];-60@car2-wlan1
61;6.1s;car1;obs;59.550000000000026;33.14999999999998;[];-60@car1-wlan1
61;6.1s;car2;car1;16.08999999999998;5.459999999999999;[];-60@car2-wlan1
62;6.2s;car1;obs;58.246693129878395;34.45330687012161;[];-60@car1-wlan1
62;6.2s;car2;car1;16.84730687012161;6.0059999999999985;[];-60@car2-wlan1
63;6.3s;car1;obs;56.943386259756764;35.75661374024324;[];-60@car1-wlan1
63;6.3s;car2;car1;17.57861374024324;6.577999999999998;[];-60@car2-wlan1
64;6.4s;car1;obs;55.64007938963513;37.05992061036487;[];-60@car1-wlan1
64;6.4s;car2;car1;18.283920610364873;7.175999999999997;[];-60@car2-wlan1
65;6.5s;car1;obs;54.3367725195135;38.3632274804865;[];-60@car1-wlan1
65;6.5s;car2;car1;18.963227480486506;7.799999999999995;[];-60@car2-wlan1
66;6.6s;car1;obs;53.03346564939187;39.66653435060813;[];-60@car1-wlan1
66;6.6s;car2;car1;19.616534350608134;8.449999999999996;[];-60@car2-wlan1
67;6.7s;car1;obs;51.73015877927024;40.96984122072976;[];-60@car1-wlan1
67;6.7s;car2;car1;20.243841220729767;9.125999999999996;[];-60@car2-wlan1
68;6.8s;car1;obs;50.42685190914861;42.27314809085139;[];-60@car1-wlan1
68;6.8s;car2;car1;20.845148090851396;9.827999999999996;[];-60@car2-wlan1
69;6.9s;car1;obs;49.12354503902698;43.576454960973024;[];-60@car1-wlan1
69;6.9s;car2;car1;21.42045496097303;10.555999999999996;[];-60@car2-wlan1
70;7.0s;car1;car3;12.744135889698688;44.879761831094655;[];-60@car1-wlan1
70;7.0s;car2;No leader;No leader;11.309999999999997;[];-60@car2-wlan1
71;7.1s;car1;car3;12.94465382964317;46.183068701216285;[];-60@car1-wlan1
71;7.1s;car2;No leader;No leader;12.089999999999998;[];-60@car2-wlan1
72;7.2s;car1;car3;13.145171769587654;47.486375571337916;[];-60@car1-wlan1
72;7.2s;car2;No leader;No leader;12.895999999999999;[];-60@car2-wlan1
73;7.3s;car1;car3;13.345689709532136;48.78968244145955;[];-60@car1-wlan1
73;7.3s;car2;No leader;No leader;13.728;[];-60@car2-wlan1
74;7.4s;car1;car3;13.54620764947662;50.09298931158118;[];-60@car1-wlan1
74;7.4s;car2;No leader;No leader;14.586;[];-60@car2-wlan1
75;7.5s;car1;car3;13.746725589421104;51.39629618170281;[];-60@car1-wlan1
75;7.5s;car2;No leader;No leader;15.47;[];-60@car2-wlan1
76;7.6s;car1;car3;13.94724352936559;52.69960305182443;[];-60@car1-wlan1
76;7.6s;car2;No leader;No leader;16.380000000000003;[];-60@car2-wlan1
77;7.7s;car1;car3;14.147761469310076;54.00290992194606;[];-60@car1-wlan1
77;7.7s;car2;No leader;No leader;17.316000000000003;[];-60@car2-wlan1
78;7.8s;car1;car3;14.348279409254562;55.30621679206769;[];-60@car1-wlan1
78;7.8s;car2;No leader;No leader;18.278;[];-60@car2-wlan1
79;7.9s;car1;car3;14.548797349199049;56.60952366218932;[];-60@car1-wlan1
79;7.9s;car2;No leader;No leader;19.266;[];-60@car2-wlan1
80;8.0s;car1;car3;14.749315289143535;57.91283053231095;[];-60@car1-wlan1
80;8.0s;car2;No leader;No leader;20.28;[];-60@car2-wlan1
81;8.1s;car1;car3;14.949833229088021;59.21613740243257;[];-60@car1-wlan1
81;8.1s;car2;obs;67.28;21.32;[];-60@car2-wlan1
82;8.2s;car1;car3;15.150351169032508;60.519444272554196;[];-60@car1-wlan1
82;8.2s;car2;obs;66.214;22.385999999999996;[];-60@car2-wlan1
83;8.3s;car1;car3;15.350869108976994;61.82275114267583;[];-60@car1-wlan1
83;8.3s;car2;obs;65.12200000000001;23.477999999999994;[];-60@car2-wlan1
84;8.4s;car1;car3;15.55138704892148;63.12605801279746;[];-60@car1-wlan1
84;8.4s;car2;obs;64.004;24.595999999999997;[];-60@car2-wlan1
85;8.5s;car1;car3;15.751904988865967;64.42936488291909;[];-60@car1-wlan1
85;8.5s;car2;obs;62.860000000000014;25.739999999999995;[];-60@car2-wlan1
86;8.6s;car1;car3;15.952422928810453;65.7326717530407;[];-60@car1-wlan1
86;8.6s;car2;obs;61.69000000000001;26.90999999999999;[];-60@car2-wlan1
87;8.7s;car1;car3;16.15294086875494;67.03597862316234;[];-60@car1-wlan1
87;8.7s;car2;obs;60.494000000000014;28.105999999999987;[];-60@car2-wlan1
88;8.8s;car1;car3;16.353458808699425;68.33928549328397;[];-60@car1-wlan1
88;8.8s;car2;obs;59.27200000000001;29.32799999999999;[];-60@car2-wlan1
89;8.9s;car1;car3;16.55397674864391;69.64259236340558;[];-60@car1-wlan1
